depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
9,1,0.05,0.07360073338110378,0.004279949620613833,0.13503210678208785,0.00760457331726612
9,2,0.05,0.13790253571996383,0.004083285292611215,0.26677026607258236,0.008490641554821597
9,3,0.05,0.11915479429608043,0.003181879805015828,0.2558140959396832,0.007151263205096698
9,4,0.05,0.21926966033874584,0.0036525369471037037,0.5874795975176326,0.011439516488700417
9,5,0.05,0.10828170725163129,0.0026192248688796877,0.3578007866584838,0.008656761660492831
9,6,0.05,0.17630083022299517,0.003040978904354687,0.7179980425350516,0.010531283151546427
9,7,0.05,0.0526623770773128,0.0015717110095910115,0.3112666151762198,0.0067357136340228906
9,8,0.05,0.0778877116337738,0.0021957014624387795,0.5123804010808201,0.009656918142409578
9,9,0.05,0.01291734796626196,0.0003836858259788309,0.14886337468298222,0.004016371848302539
9,10,0.05,0.019015171274166444,0.0005394169068054179,0.212214800871242,0.005554238249317149
9,11,0.05,0.0036361755426872655,0.0001323709274889219,0.051612146584068375,0.0017722368507531079
9,12,0.05,0.005298731575095505,0.00016938333928079622,0.06581929258907161,0.0021301228650794806
