depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
7,1,0.1,0.04787339968130251,0.0018104042600010778,0.09263232718746789,0.0035012185737827058
7,2,0.1,0.08896439484694246,0.0022887583246364957,0.18784254578469906,0.00524197552613627
7,3,0.1,0.05487708293463396,0.00162275968693707,0.12488585694363057,0.003650483654872356
7,4,0.1,0.08204647625032355,0.0015134618919725364,0.2235304933239523,0.003969120149350446
7,5,0.1,0.03076576884395186,0.0011080080277190616,0.10242312585235645,0.002703442166638606
7,6,0.1,0.04162729663250182,0.0011656252598577987,0.1704717735380022,0.0029143355782147457
7,7,0.1,0.004021693010901437,0.0001462463063124447,0.04527988705001387,0.0012577581576723915
7,8,0.1,0.006248926656140466,0.00020182823576413335,0.08293318194676026,0.0016349108222134738
7,9,0.1,0.0006810802806545979,3.215782945358601e-05,0.021694591411417434,0.0006572816031621515
7,10,0.1,0.0010859354086379014,4.9030129725892886e-05,0.039108423410304315,0.000976404960294796
7,11,0.1,0.0001027805717153818,5.288811377199623e-06,0.009334862210595549,0.0003526194718127614
7,12,0.1,0.00015825513621889442,6.723968952492158e-06,0.017015304919026253,0.0004484316247848907
