depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
3,1,0.1,0.6530257150366097,0.023502680809848867,1.1449189683200267,0.041034626303668414
3,2,0.1,1.0182740972719322,0.01879348937201976,1.8565954242577893,0.030547822710910857
3,3,0.1,0.038122969696723456,0.001810061422152933,0.1472385312074705,0.006467116114893973
3,4,0.1,0.05023691934528379,0.002102703895093422,0.16688630760504458,0.00794014221765346
3,5,0.1,0.0006655838671538561,2.9911898585067844e-05,0.001947345587701026,8.69813846475854e-05
3,6,0.1,0.0009251558393832226,4.354347030447982e-05,0.0023235440750427826,0.00012981941344046154
3,7,0.1,1.2586205132230076e-05,6.297971972217055e-07,2.739352015851182e-05,1.3439731836758073e-06
3,8,0.1,1.7170926038652112e-05,8.392856090041156e-07,3.193019943498854e-05,1.8885579718545613e-06
3,9,0.1,2.2127803308791272e-07,1.3495990113565726e-08,3.697890352327704e-07,2.2276992390388935e-08
3,10,0.1,3.013663176432146e-07,1.8933245461114923e-08,4.064453345975494e-07,3.014902345875319e-08
3,11,0.1,3.7673724762044006e-09,2.9506098763605696e-10,4.699830888910128e-09,3.5281348016756067e-10
3,12,0.1,4.152669674795107e-09,3.344141785014533e-10,4.257401684526485e-09,4.196840338549925e-10
