depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
3,1,0.1,0.6425189323670284,0.01943593836306639,1.122929638573812,0.0341651636376401
3,2,0.1,0.9700654921926543,0.022050531344380873,1.7860146502499321,0.03560461577149557
3,3,0.1,0.03640018047398483,0.0016667833561298264,0.1443614638048296,0.0058725494619599125
3,4,0.1,0.047300492750115525,0.0018740336722338166,0.15694050040465043,0.00739149320518276
3,5,0.1,0.0007047531315312483,3.45278663130449e-05,0.0019785134164532893,9.268053122706664e-05
3,6,0.1,0.0009063388531061989,4.494907722474597e-05,0.002286786479697227,0.00012716526020996712
3,7,0.1,1.3288560112414415e-05,7.923261070256738e-07,2.8457926506320065e-05,1.6062080193727897e-06
3,8,0.1,1.5837125708451082e-05,9.370888822722394e-07,2.87251121595844e-05,2.032992320752468e-06
3,9,0.1,2.0381553767379045e-07,1.3672485901966853e-08,3.2661410042322815e-07,2.147379129190464e-08
3,10,0.1,2.4501060302384304e-07,1.886420193726815e-08,3.305131207653744e-07,2.8675351331754036e-08
3,11,0.1,3.456828352454977e-09,2.7376907659230163e-10,4.193916218753202e-09,3.275180348326386e-10
3,12,0.1,3.998886057843265e-09,3.901511188149438e-10,4.0204233542340264e-09,4.4154326388641547e-10
