depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
4,1,0.01,1.7322091271865263,0.04989337683499345,2.0045597688370544,0.06022976154019444
4,2,0.01,1.743663458070734,0.032246609870838744,2.021395144591499,0.040221623601606526
4,3,0.01,1.1938363082398495,0.050153052920593105,1.3515832165969885,0.060394584563406406
4,4,0.01,0.07991598653653642,0.0037966593829642857,0.048714373008956924,0.003207502183984605
4,5,0.01,0.01765423506506858,0.000854323133895471,0.009411941613162824,0.0008774476003680963
4,6,0.01,0.007701860006984784,0.0005307899301952971,0.0021351300329624933,0.0005154403428039494
4,7,0.01,0.0004922804669082304,5.5995565384656215e-05,2.1582240150941347e-05,5.044189929494364e-06
4,8,0.01,0.00010021267817652557,8.017458742244766e-06,5.938351501910688e-07,1.0546888094211935e-07
4,9,0.01,1.1435427953916389e-05,1.1586524015886913e-06,3.8250218850066634e-08,1.4855062191950202e-08
4,10,0.01,3.1193667632400944e-06,6.582275615338725e-07,1.0193222443888316e-08,8.588875332458928e-09
4,11,0.01,2.5395402396100054e-07,5.5054925564637084e-08,1.4278533910783153e-10,1.1877165361550275e-10
4,12,0.01,5.4747902744622935e-08,7.17862345780744e-09,2.5073987330870295e-12,1.6469364398714442e-12
