depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
3,1,0.01,2.0209295900225266,0.06360743467257268,2.2514084585150336,0.07035168857226452
3,2,0.01,2.4250498147647392,0.08354527295822735,2.647946638908057,0.09531203655141028
3,3,0.01,0.032809460773246875,0.0013476611892921967,0.027933064798162714,0.0011784922842180173
3,4,0.01,0.029963365482458613,0.0015725150066166027,0.017250345135939486,0.001443629349359425
3,5,0.01,0.00014096941234652326,6.37271990785583e-06,2.176491507484002e-06,1.0583786075713375e-07
3,6,0.01,0.0001347167818099937,7.595769315112047e-06,1.4300344250806063e-06,1.1825202409343102e-07
3,7,0.01,5.828512796757224e-07,2.6828909788616747e-08,1.4808156478807176e-10,9.348083693707712e-12
3,8,0.01,6.05347365487674e-07,4.7692276063755154e-08,1.1482061523793164e-10,1.271729242744296e-11
3,9,0.01,2.502136755566653e-09,1.738564023538095e-10,1.1688428003253648e-14,9.600087131056914e-16
3,10,0.01,2.2484017314639003e-09,2.158159579202571e-10,8.490985692333198e-15,9.075636392268061e-16
3,11,0.01,9.865903649597385e-12,9.83374846892457e-13,5.044853423896711e-15,3.029612913298911e-16
3,12,0.01,7.58522133992301e-12,1.0373803690559255e-12,1.2363443602225743e-14,1.772772086931832e-15
