depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.05,1.3766412790149922,0.005138326237145519,1.7542436697991954,0.005541901229548034
2,2,0.05,0.140506165842365,0.0024244260437451676,0.16587593046373209,0.0027702509440149696
2,3,0.05,1.6253665080512292e-15,7.061995923821562e-17,1.1457501614131616e-15,4.87932599029519e-17
2,4,0.05,1.865174681370263e-15,4.52883909360294e-17,1.580957587066223e-15,5.777940247956291e-17
2,5,0.05,1.829647544582258e-15,6.360250562653446e-17,1.900701818158268e-15,9.732749739869976e-17
2,6,0.05,1.829647544582258e-15,8.849752011799091e-17,2.220446049250313e-15,1.0433733987432286e-16
2,7,0.05,2.806643806252396e-15,1.161036396863451e-16,2.3092638912203257e-15,1.1512108063996357e-16
2,8,0.05,3.3217872896784686e-15,1.089531041401106e-16,2.771116669464391e-15,1.5206278589397964e-16
2,9,0.05,3.2507330161024585e-15,1.5406247731452914e-16,3.268496584496461e-15,1.4527080552014744e-16
2,10,0.05,3.517186542012496e-15,1.3750424784833814e-16,3.765876499528531e-15,1.8555915712000504e-16
2,11,0.05,3.268496584496461e-15,1.0491037770232054e-16,3.943512183468556e-15,1.61169512895949e-16
2,12,0.05,3.232969447708456e-15,1.4811024290165044e-16,4.405364961712621e-15,2.573695251765405e-16
2,13,0.05,4.050093593832571e-15,1.424633755374559e-16,4.334310688136611e-15,2.0812959911434075e-16
2,14,0.05,3.268496584496461e-15,1.9039363517910972e-16,4.121147867408581e-15,2.326417180675108e-16
