depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.05,1.3801368601821558,0.003930249295906915,1.759480594700777,0.0035214629349660663
2,2,0.05,0.13906244114296548,0.002769544169745964,0.16422627003307988,0.0031645973984333114
2,3,0.05,1.6608936448392343e-15,7.194793436965566e-17,1.2434497875801752e-15,5.617333549722721e-17
2,4,0.05,1.8474111129762605e-15,6.57011938504117e-17,1.5454304502782179e-15,5.509570548863544e-17
2,5,0.05,1.794120407794253e-15,5.886150775957649e-17,1.971756091734278e-15,7.233066793156103e-17
2,6,0.05,1.936228954946273e-15,5.992407563380554e-17,2.220446049250313e-15,1.3352249420226864e-16
2,7,0.05,2.7888802378583933e-15,1.1514848715877586e-16,2.4513724383723455e-15,1.2193625523856975e-16
2,8,0.05,3.5349501104064984e-15,1.2431959964177034e-16,2.9132252166164106e-15,1.306316925624901e-16
2,9,0.05,3.0908609005564358e-15,1.1847114933895189e-16,3.588240815588506e-15,1.2799634088375328e-16
2,10,0.05,3.517186542012496e-15,1.0646292071052484e-16,3.907985046680551e-15,2.0715702557244598e-16
2,11,0.05,3.3750779948604757e-15,7.53644380168212e-17,3.765876499528531e-15,1.714161340063188e-16
2,12,0.05,3.126388037344441e-15,1.2868476258827024e-16,4.902744876744691e-15,2.4387251047713946e-16
2,13,0.05,3.446132268436486e-15,1.4570458016585433e-16,3.836930773104541e-15,1.693418779469338e-16
2,14,0.05,3.3750779948604757e-15,1.8288713016877622e-16,4.476419235288631e-15,2.9825872419757155e-16
