depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.05,1.3758370374713258,0.0037746462694162046,1.7531727942835342,0.0030794300048434756
2,2,0.05,0.14339361524116379,0.001429214535156584,0.16917525132503633,0.0016330805080369798
2,3,0.05,1.5987211554602255e-15,5.02429586778808e-17,1.1013412404281553e-15,4.739911241858271e-17
2,4,0.05,1.7763568394002505e-15,3.552713678800501e-17,1.616484723854228e-15,4.825678597060135e-17
2,5,0.05,1.794120407794253e-15,5.323146035526242e-17,1.829647544582258e-15,7.285229008292716e-17
2,6,0.05,1.9184653865522706e-15,8.085838968512633e-17,2.0250467969162854e-15,9.071602374038224e-17
2,7,0.05,2.6822988274943782e-15,1.2175497579529655e-16,2.2382096176443156e-15,1.1019141097727088e-16
2,8,0.05,3.3750779948604757e-15,1.0048591735576159e-16,2.7000623958883807e-15,1.255068705507916e-16
2,9,0.05,3.3395508580724707e-15,1.111039848290708e-16,3.446132268436486e-15,1.367679413627354e-16
2,10,0.05,3.4106051316484808e-15,8.46709389734669e-17,3.9790393202565614e-15,2.1054137832307239e-16
2,11,0.05,3.161915174132446e-15,1.1555880495912583e-16,4.156675004196586e-15,1.7119509441210935e-16
2,12,0.05,2.9132252166164106e-15,1.2058310082691392e-16,4.405364961712621e-15,2.3694229867790377e-16
2,13,0.05,3.4106051316484808e-15,1.4938305555481178e-16,4.263256414560601e-15,2.246933419889088e-16
2,14,0.05,3.232969447708456e-15,1.564001245175116e-16,3.9790393202565614e-15,2.7774860151470285e-16
