depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
4,1,0.01,1.8287682125374014,0.04866310416776894,2.115349268210796,0.057783114815541325
4,2,0.01,1.7694692442402156,0.037447169503889245,2.0577630986242847,0.045005369428283135
4,3,0.01,1.1594179747918663,0.0480432607719936,1.3042548377972503,0.057208811730248374
4,4,0.01,0.0769644403634742,0.0035861595836314143,0.04756049605585854,0.002931602977885109
4,5,0.01,0.017888643340583387,0.0010265804662277435,0.008056579643046735,0.001025414193015039
4,6,0.01,0.0061686965383907656,0.0005543337477973795,0.0011851459189630021,0.0003926359552483615
4,7,0.01,0.00045329918527425405,5.450094809730457e-05,1.622113354335042e-05,4.414817657147683e-06
4,8,0.01,9.040875454211062e-05,1.0046079716378353e-05,5.58279827949093e-07,1.3721518661775165e-07
4,9,0.01,9.939810574444152e-06,1.4183479151571198e-06,2.7250382217403058e-08,1.3208792619764837e-08
4,10,0.01,2.2017271627206015e-06,3.644660088657395e-07,9.127047917445452e-10,2.8036568035522565e-10
4,11,0.01,2.1940433031275575e-07,3.5433593230985776e-08,2.4052724256762303e-11,8.526682153806187e-12
4,12,0.01,5.5319772283013436e-08,1.2405485845971028e-08,1.652296077736537e-12,7.619265208101537e-13
