depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.1,0.9763854479998261,0.005517332266391142,1.4770887848947212,0.006602058068021725
2,2,0.1,0.15644367901266298,0.002192874198038223,0.2843460214216746,0.0037348426603433836
2,3,0.1,2.078337502098293e-15,8.559754720605467e-17,1.0480505352461477e-15,8.949031182091003e-17
2,4,0.1,2.3092638912203257e-15,7.944109290391274e-17,1.794120407794253e-15,1.7585035537258277e-17
2,5,0.1,2.9487523534044156e-15,1.3860137360048808e-16,1.6697754290362353e-15,6.473352399285872e-17
2,6,0.1,3.730349362740526e-15,1.6852000649168164e-16,1.8118839761882555e-15,1.0646292071052484e-16
2,7,0.1,4.192202140984591e-15,1.7947358714302324e-16,1.9539925233402757e-15,9.05767818720588e-17
2,8,0.1,5.044853423896711e-15,1.969113790856769e-16,2.9132252166164106e-15,1.2058310082691392e-16
2,9,0.1,5.222489107836736e-15,1.9723161247188173e-16,2.842170943040401e-15,1.5888218580782547e-16
2,10,0.1,5.009326287108706e-15,1.9901539721673937e-16,3.481659405224491e-15,1.2265869388011244e-16
2,11,0.1,5.4711790653527716e-15,2.122133156926236e-16,3.197442310920451e-15,1.4210854715202004e-16
2,12,0.1,6.7146288529329464e-15,2.8988924524960215e-16,3.836930773104541e-15,1.163208590337554e-16
2,13,0.1,6.963318810448982e-15,3.8866103100125835e-16,3.197442310920451e-15,2.1900397950137237e-16
2,14,0.1,8.668621376273222e-15,3.6452989145290814e-16,4.405364961712621e-15,2.145792005669236e-16
