depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
8,1,0.01,0.6667888898657721,0.01832787043568532,0.8661466112241206,0.024544466458822387
8,2,0.01,1.0099645759507383,0.01901687147180815,1.383815465215878,0.027282203980887695
8,3,0.01,1.2345948917280802,0.01497419088433735,1.7515732842015899,0.02046966557403797
8,4,0.01,1.1522528125759266,0.014977822642497689,1.6891721327920117,0.021508626682099168
8,5,0.01,0.8830331122636567,0.015419778337702451,1.2574134727184139,0.0236264366469811
8,6,0.01,0.5107279613296393,0.015801212293935378,0.6788014366558204,0.025595173755920644
8,7,0.01,0.22655530052188347,0.01433653609263722,0.20805282649706897,0.021682609009736894
8,8,0.01,0.06010561722002841,0.001659673948892129,0.02014814257976739,0.0011505592712585209
8,9,0.01,0.02473078516356532,0.0008057169143888346,0.00470812107527875,0.0005067289001286096
8,10,0.01,0.01224541237058613,0.0004997997723096692,0.0009572641491010181,0.00017102936728679595
8,11,0.01,0.005030157310221979,0.00021980720816968828,0.00013432735176297506,1.8656255702059697e-05
8,12,0.01,0.002116903880247758,0.00010082830467107388,1.7197718509569528e-05,2.0509076372675707e-06
