depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
5,1,0.05,0.5270691271160477,0.010027125901789807,0.8915405669768843,0.018248818532361134
5,2,0.05,0.938107380232314,0.009686623125192756,1.7155755339537706,0.01749677098932752
5,3,0.05,0.4794609413364509,0.00820490676578464,0.9836427446811353,0.0147588328443963
5,4,0.05,0.6183150886746701,0.010800173155834276,1.2468830550774896,0.019943878698245633
5,5,0.05,0.05255108840148535,0.0014386438094525066,0.14080903845875295,0.004546963230033353
5,6,0.05,0.06896024785085858,0.0017661463595947306,0.13158296576990322,0.0040773132905156245
5,7,0.05,0.007261733164904003,0.00024438749440292755,0.010740241436661248,0.0005790529868095596
5,8,0.05,0.008644571302396393,0.0002761904144512775,0.008520508100775386,0.0006556027224132805
5,9,0.05,0.0006939090534611835,2.6581427993970585e-05,0.0004956434697986101,3.860097049088078e-05
5,10,0.05,0.0009014772718317587,3.5575357785834424e-05,0.0003947303357279797,2.6962592910352312e-05
5,11,0.05,7.758475720219593e-05,3.9989354528104795e-06,2.3239430408148465e-05,1.7820573824533213e-06
5,12,0.05,9.464838845982371e-05,4.886509786438306e-06,2.091448179741384e-05,2.44241729136892e-06
