depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
3,1,0.1,0.7005842442433899,0.022701224348338905,1.2238031588242464,0.03968599718213989
3,2,0.1,0.9931663274980441,0.018062483856950442,1.8279114680347994,0.03080070462669542
3,3,0.1,0.03896849596550488,0.0019139426661933402,0.15129435653289483,0.006355913999896788
3,4,0.1,0.045842657982178674,0.001995402348761102,0.15295988316392262,0.0071302445625800355
3,5,0.1,0.0007399569207555601,4.217412742870401e-05,0.0021831986509073787,0.00011641853416524799
3,6,0.1,0.0008578014455946459,4.106539929835164e-05,0.002113377933572842,0.00011855849374405169
3,7,0.1,1.310408325032597e-05,6.993480132651975e-07,2.8061120338875866e-05,1.4638751933997347e-06
3,8,0.1,1.607865772793815e-05,9.425504082823754e-07,2.987548447965338e-05,2.0081026196843803e-06
3,9,0.1,2.1999255626070635e-07,1.245618549538625e-08,3.6824024714832147e-07,2.1632132768825363e-08
3,10,0.1,2.696316337846838e-07,1.9028161881729566e-08,3.513449013681225e-07,2.903078158802134e-08
3,11,0.1,3.5023833078184908e-09,3.159012431793224e-10,4.314003732019956e-09,3.960652039207527e-10
3,12,0.1,3.5038747370208514e-09,3.1128624476721715e-10,3.51992436975479e-09,3.379030791305891e-10
3,13,0.1,3.207055954135285e-11,4.290656071742418e-12,3.21900728295077e-11,4.6446821775845755e-12
3,14,0.1,1.3278551591611176e-11,5.357134352893243e-12,9.355218821838208e-12,3.985287732789742e-12
