depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
7,1,0.01,0.8439635162482146,0.020594920303912512,1.0771742317424398,0.027640157469225893
7,2,0.01,1.5717501152367634,0.02383440226854958,2.0482139964319503,0.03186644501845004
7,3,0.01,1.3334846550283392,0.017423762126026508,1.8328517733104632,0.02315409740527875
7,4,0.01,1.5735147599569088,0.01990076225434717,2.0780400336899447,0.027786971752708414
7,5,0.01,0.6426808983145407,0.015317411647223778,0.865485118561326,0.022271888438021727
7,6,0.01,0.532024867981598,0.018731244858417238,0.5647759752751805,0.028463905315313516
7,7,0.01,0.04889368071953231,0.001541528224225048,0.02088592359392423,0.0011612218583122744
7,8,0.01,0.0463369011925454,0.0015358404237263824,0.010839023391033402,0.0007952350626446088
7,9,0.01,0.007885821389567163,0.00031040340170989956,0.000850625279285877,0.00014182131892505185
7,10,0.01,0.00730255367283883,0.0003408719161064591,0.0004551841641096832,0.00012602679730966366
7,11,0.01,0.0010514852433881837,5.301961245398828e-05,1.4296209130852943e-05,2.6027758245073023e-06
7,12,0.01,0.0009926143086017537,4.5342202895383844e-05,4.881451040237295e-06,1.1138160679160517e-06
