depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.1,0.9858840183263158,0.005123944147197727,1.4852292231551387,0.007272443263054311
2,2,0.1,0.15166147906978214,0.0033719124198653685,0.2753118841974265,0.0061784301536095074
2,3,0.1,1.936228954946273e-15,5.992407563380553e-17,1.0835776720341528e-15,8.440966589174596e-17
2,4,0.1,2.415845301584341e-15,7.959981652450693e-17,1.829647544582258e-15,4.638978928000126e-17
2,5,0.1,2.877698079828406e-15,1.2193625523856973e-16,1.5987211554602255e-15,7.53644380168212e-17
2,6,0.1,3.836930773104541e-15,1.8364471519760293e-16,1.6697754290362353e-15,1.2214310230029272e-16
2,7,0.1,4.227729277772596e-15,1.4980492325597094e-16,2.0250467969162854e-15,1.037002982636638e-16
2,8,0.1,5.044853423896711e-15,1.693418779469338e-16,2.7000623958883807e-15,1.255068705507916e-16
2,9,0.1,4.831690603168682e-15,1.8826030582618743e-16,2.7355895326763858e-15,1.60541781151764e-16
2,10,0.1,5.009326287108706e-15,2.393274171637826e-16,3.801403636316536e-15,1.589616070503801e-16
2,11,0.1,5.648814749292797e-15,2.2294516795877304e-16,3.4106051316484808e-15,2.1221331569262357e-16
2,12,0.1,6.501466032204917e-15,2.9558065392551913e-16,4.085620730620576e-15,2.086746797486457e-16
2,13,0.1,7.389644451905042e-15,2.628047754016468e-16,3.268496584496461e-15,2.1528389606179298e-16
2,14,0.1,8.171241461241152e-15,3.370400129833633e-16,4.121147867408581e-15,1.8419372902394172e-16
