depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
10,1,0.05,0.041227987358183886,0.003472274566253069,0.0766583282035146,0.006245975641272279
10,2,0.05,0.06418530015667454,0.002681564368393596,0.12271154959273073,0.005013425092086898
10,3,0.05,0.0882937405810036,0.0025336761641616048,0.1786758923868959,0.005101385654127498
10,4,0.05,0.09094727487177924,0.0022066174846039365,0.215941527637854,0.005664604837679672
10,5,0.05,0.08844073900090901,0.0016886521722490559,0.253537708601455,0.005247741748922569
10,6,0.05,0.07619650572351809,0.0015716968752635184,0.29147543926678,0.005746904946551484
10,7,0.05,0.06652873920406645,0.001732478705292553,0.3008983420320689,0.005217890899376395
10,8,0.05,0.03767865137481673,0.0008947802099467373,0.27166666887651464,0.0047935402741789805
10,9,0.05,0.028423057279344927,0.0010146995418238585,0.2364036351514653,0.0045886101514781225
10,10,0.05,0.012593420979880693,0.00041996800131777423,0.17480022789021998,0.0037820130242897797
10,11,0.05,0.006142766730356861,0.00019222238105092769,0.12342726796759326,0.0028907353077977363
10,12,0.05,0.003861040702627143,0.00011880218161850981,0.0850722161121335,0.0022032438925880275
