depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.01,1.8283768609712008,0.0012994483565795481,1.9527814374357575,0.0006325801050136239
2,2,0.01,0.05995705544857486,0.0008474127591185454,0.03693550499651687,0.0005186628425863298
2,3,0.01,1.0169642905566434e-15,4.618954771558416e-17,8.437694987151189e-16,2.5894628196555747e-17
2,4,0.01,1.3233858453531866e-15,7.893303129511466e-17,1.5276668818842154e-15,7.55317288730925e-17
2,5,0.01,1.1546319456101628e-15,9.315293853352738e-17,2.042810365310288e-15,7.215595591812693e-17
2,6,0.01,1.5631940186722204e-15,8.163514517232825e-17,2.4513724383723455e-15,1.2193625523856973e-16
2,7,0.01,1.3455903058456896e-15,9.898508409501695e-17,2.5934809855243656e-15,1.439616396890728e-16
2,8,0.01,1.9984014443252818e-15,1.2258792862456023e-16,3.517186542012496e-15,1.1772301551915298e-16
2,9,0.01,1.8207657603852566e-15,9.66850646525563e-17,3.765876499528531e-15,2.337242819322473e-16
2,10,0.01,1.6342482922482305e-15,9.436451609654331e-17,4.085620730620576e-15,2.5741856195419356e-16
2,11,0.01,1.865174681370263e-15,9.483150488903746e-17,4.263256414560601e-15,2.2469334198890885e-16
2,12,0.01,1.7763568394002505e-15,1.1783018260144473e-16,4.618527782440651e-15,2.5121479338940396e-16
2,13,0.01,1.8829382497642656e-15,5.411332257568737e-17,4.334310688136611e-15,2.893226717262441e-16
2,14,0.01,1.8118839761882555e-15,9.043732562018543e-17,4.334310688136611e-15,3.0627606495062745e-16
