depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.01,1.831514132288956,0.0014303791822063501,1.9537892048923333,0.0007595336321311256
2,2,0.01,0.061180190410054396,4.39455002524133e-17,0.03768413032598156,2.9831756714991725e-17
2,3,0.01,1.0746958878371515e-15,4.87932599029519e-17,6.483702463810914e-16,5.646747540755943e-17
2,4,0.01,1.0036416142611414e-15,4.3165836701401135e-17,1.6697754290362353e-15,9.612043966789004e-17
2,5,0.01,1.2612133559741778e-15,8.73490851428773e-17,2.149391775674303e-15,8.734908514287729e-17
2,6,0.01,1.5543122344752192e-15,8.903960971090994e-17,2.2737367544323206e-15,1.2347916251785852e-16
2,7,0.01,1.4921397450962103e-15,1.241926262661404e-16,2.9487523534044156e-15,1.784155689604421e-16
2,8,0.01,2.0161650127192843e-15,9.746518876332935e-17,3.3395508580724707e-15,1.8555915712000504e-16
2,9,0.01,2.007283228522283e-15,1.0895310414011061e-16,4.511946372076636e-15,2.202109387967501e-16
2,10,0.01,1.616484723854228e-15,9.123628813083156e-17,4.405364961712621e-15,2.573695251765405e-16
2,11,0.01,2.1582735598713045e-15,1.0950919359199857e-16,4.263256414560601e-15,2.4613922385709623e-16
2,12,0.01,1.971756091734278e-15,1.263338190447495e-16,4.405364961712621e-15,2.3694229867790377e-16
2,13,0.01,2.0872192862952944e-15,1.3068603061549808e-16,4.334310688136611e-15,2.893226717262441e-16
2,14,0.01,2.1316282072803005e-15,1.3528330643921842e-16,4.902744876744691e-15,3.464943273524059e-16
