depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
4,1,0.05,0.846858433955259,0.021532927619610724,1.3443860755957495,0.03863872625642633
4,2,0.05,0.8791994397561105,0.018334497335332812,1.4734780121672464,0.029788102560384243
4,3,0.05,0.6715895704313453,0.020498965552038083,1.135272567694953,0.03188406625998936
4,4,0.05,0.12828269720175764,0.005950803510765741,0.21884394719285225,0.011200612487355016
4,5,0.05,0.02704301321602827,0.001112636437313581,0.0446776403095007,0.0027286390709728467
4,6,0.05,0.014817403457642549,0.0010551577282924968,0.01824059377693171,0.0032468265491430504
4,7,0.05,0.0017571291039149629,0.0001062794782441058,0.001200108413715313,0.00013077575170749055
4,8,0.05,0.0006244397381666645,4.8057183808737786e-05,0.00017230199757658937,1.9299957027124936e-05
4,9,0.05,8.917990161290134e-05,6.343701460436267e-06,1.92499737536167e-05,2.460072876139198e-06
4,10,0.05,3.553808522582358e-05,3.3422528150018467e-06,3.9527349442280975e-06,6.938536172425156e-07
4,11,0.05,4.209955256015974e-06,3.9210597271102543e-07,3.2066708143929646e-07,5.817466706783276e-08
4,12,0.05,1.968527835174427e-06,2.8447857207274634e-07,9.84393695802055e-08,3.526353677723931e-08
