depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.02,1.702760232931543,0.002664180949296923,1.9079211895058323,0.0019110174311041013
2,2,0.02,0.09346736139935402,0.0010927698236511117,0.07264623432606411,0.0010621908327974729
2,3,0.02,1.0036416142611414e-15,3.9341391638370205e-17,9.14823772291129e-16,2.319489464000063e-17
2,4,0.02,1.1901590823981679e-15,5.678788057802032e-17,1.3677947663381929e-15,8.778150899932651e-17
2,5,0.02,1.652011860642233e-15,5.030572317290554e-17,2.3270274596143282e-15,7.056408458808932e-17
2,6,0.02,2.0161650127192843e-15,7.017171631355154e-17,1.865174681370263e-15,8.042797661766892e-17
2,7,0.02,1.7408297026122454e-15,7.928205151735809e-17,2.4513724383723455e-15,1.2193625523856973e-16
2,8,0.02,1.6875389974302379e-15,8.792517768629141e-17,2.7355895326763858e-15,1.3490959493401196e-16
2,9,0.02,1.758593271006248e-15,7.738883635536795e-17,3.907985046680551e-15,1.4210854715202004e-16
2,10,0.02,1.8118839761882555e-15,1.2550687055079162e-16,5.4001247917767615e-15,2.3002277851331094e-16
2,11,0.02,1.6342482922482305e-15,1.0764194803089649e-16,4.6895820560166614e-15,2.3437142008433854e-16
2,12,0.02,1.723066134218243e-15,9.536240619545956e-17,4.334310688136611e-15,2.0812959911434075e-16
2,13,0.02,1.7053025658242404e-15,9.677477288417602e-17,4.547473508864641e-15,2.2559032496456474e-16
2,14,0.02,1.652011860642233e-15,1.0953080227315578e-16,5.4001247917767615e-15,3.6563620626192817e-16
