depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
4,1,0.01,1.8142207567401822,0.051105071941699755,2.0984210022428886,0.05890924197427454
4,2,0.01,1.8383781036933717,0.04482567889683348,2.143836405632415,0.0544468661426871
4,3,0.01,1.1126823229973237,0.04504917860939218,1.244992801416001,0.05436795437053928
4,4,0.01,0.07277378706158498,0.003426430349991816,0.04448421504404733,0.0028562092882748412
4,5,0.01,0.017505722514911285,0.0007630730296648689,0.007080178394518857,0.0008315727967891279
4,6,0.01,0.006899371099991747,0.000644590430940164,0.0019119744083613455,0.000566329086073539
4,7,0.01,0.0005279414694125251,6.483877030556592e-05,2.165524626226656e-05,5.211996244373578e-06
4,8,0.01,9.775773889289852e-05,1.105206673432119e-05,6.151751102478898e-07,1.1580749731913792e-07
4,9,0.01,1.3051950480065245e-05,1.4059158320964218e-06,4.236349866459932e-08,1.4866747830200812e-08
4,10,0.01,3.0977694336620234e-06,4.768600269843686e-07,2.9915295485238856e-09,1.246074853721857e-09
4,11,0.01,2.9638705536072505e-07,5.529132803225844e-08,1.6467723185087378e-10,1.236266171555286e-10
4,12,0.01,6.57491902700258e-08,1.4622493112523043e-08,5.1544546408877065e-12,3.2684849189278883e-12
