depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
2,1,0.01,1.8316173171108423,0.001548209027040563,1.9543550184102785,0.000747676061141361
2,2,0.01,0.05995705544857485,0.0008474127591185581,0.03693550499651689,0.0005186628425863174
2,3,0.01,1.0480505352461477e-15,5.583527825159859e-17,7.371880883511039e-16,4.633874603408679e-17
2,4,0.01,1.2256862191861727e-15,6.94371503786757e-17,1.4743761767022078e-15,8.559754720605467e-17
2,5,0.01,1.305622276959184e-15,1.0761996009316718e-16,2.2737367544323206e-15,1.2347916251785852e-16
2,6,0.01,1.580957587066223e-15,9.982430042205066e-17,2.3092638912203257e-15,1.230696119285481e-16
2,7,0.01,1.403321903126198e-15,1.075833035438245e-16,2.7000623958883807e-15,1.442244235518646e-16
2,8,0.01,1.8918200339612667e-15,5.729955573588553e-17,3.517186542012496e-15,1.7030806722867287e-16
2,9,0.01,1.7319479184152442e-15,9.586568492335924e-17,3.765876499528531e-15,2.1102042644709938e-16
2,10,0.01,1.7852386235972515e-15,8.187637005002211e-17,4.369837824924616e-15,2.851481566185202e-16
2,11,0.01,1.900701818158268e-15,8.335638459762199e-17,4.405364961712621e-15,2.762905935359126e-16
2,12,0.01,1.5987211554602255e-15,1.0357851278622299e-16,4.618527782440651e-15,2.51214793389404e-16
2,13,0.01,1.909583602355269e-15,7.562566735475685e-17,4.7606363295926715e-15,2.7720274720097616e-16
2,14,0.01,1.874056465567264e-15,1.2516069613052994e-16,3.836930773104541e-15,2.628047754016468e-16
