depth,p,n,real,b,ivn_max,ir2_max,a_at_max
8,0.02,12,0,1,5.172073752177825,8.695119955717121,7
8,0.02,12,0,2,4.561395424712517,7.508369110844626,7
8,0.02,12,0,3,3.126719641558042,4.6849332098971495,7
8,0.02,12,0,4,1.791051669491587,2.4111509314995416,6
8,0.02,12,0,5,1.3278296074955342,1.9091147100080033,2
8,0.02,12,0,6,0.4926667836341778,0.5790885599900708,2
8,0.02,12,0,7,0.31951991376381805,0.23759152254019966,2
8,0.02,12,0,8,0.11723152837251405,0.01950177865652236,2
8,0.02,12,0,9,0.03608803898193713,0.0012034225841119905,2
8,0.02,12,0,10,0.012085855273273438,6.876499000441072e-05,1
8,0.02,12,1,1,3.6195330656439246,5.721221471372868,5
8,0.02,12,1,2,2.792633920175536,4.318710862256845,4
8,0.02,12,1,3,1.7011191456375165,2.5556309950535336,4
8,0.02,12,1,4,0.8590873221956521,1.1441533398061239,5
8,0.02,12,1,5,0.6568016173249838,0.9464549674337039,5
8,0.02,12,1,6,0.1383938334175987,0.028817320533839563,1
8,0.02,12,1,7,0.04044661228721047,0.005441822918042405,2
8,0.02,12,1,8,0.018134093204082546,0.0007455162183482855,1
8,0.02,12,1,9,0.006275609063354892,9.835992968376672e-05,1
8,0.02,12,1,10,0.002234585342236528,1.3547551299453175e-05,1
8,0.02,12,2,1,3.7956328887329107,6.23232355054601,4
8,0.02,12,2,2,3.0983238809610683,5.052434292952334,2
8,0.02,12,2,3,1.9801374968197436,3.1139172167948423,4
8,0.02,12,2,4,0.8635385842847878,1.3307507695910603,3
8,0.02,12,2,5,0.5290573591010936,0.6040775187861467,2
8,0.02,12,2,6,0.08751078224661057,0.015899587147266914,1
8,0.02,12,2,7,0.03619534989318396,0.006984511670797389,2
8,0.02,12,2,8,0.009261614194237211,0.0008417388368435752,2
8,0.02,12,2,9,0.004425041345577085,0.00012737357086223255,2
8,0.02,12,2,10,0.0008720127838053315,3.2532202371982066e-06,1
8,0.02,12,3,1,4.220463161144929,7.170307132040065,3
8,0.02,12,3,2,3.243160353334398,5.311462115625632,3
8,0.02,12,3,3,2.393534626237498,3.691505875535647,4
8,0.02,12,3,4,1.422054659484557,2.018501117613729,3
8,0.02,12,3,5,0.619101235927916,0.6784243529713496,3
8,0.02,12,3,6,0.24261831612461116,0.1595511991626566,3
8,0.02,12,3,7,0.07469354570452502,0.011023226601539093,2
8,0.02,12,3,8,0.027888272749152065,0.0009513940080410066,1
8,0.02,12,3,9,0.006636726273114846,8.213268331402901e-05,1
8,0.02,12,3,10,0.0022322885153478467,9.957944952176945e-06,1
8,0.02,12,4,1,3.544287479367428,5.781454317628011,8
8,0.02,12,4,2,2.3616038732346123,3.66010600600438,7
8,0.02,12,4,3,1.6298246637477973,2.3517576710985013,7
8,0.02,12,4,4,0.7363834958464253,1.0043826665877438,4
8,0.02,12,4,5,0.3366733052636395,0.2541183334975887,4
8,0.02,12,4,6,0.19351461306782092,0.12262450844055017,3
8,0.02,12,4,7,0.12900828289121513,0.0560757927534663,3
8,0.02,12,4,8,0.04082047536382838,0.002321805789758713,3
8,0.02,12,4,9,0.010630281501390115,0.0008363614415660692,1
8,0.02,12,4,10,0.0037596687667829087,3.3016388551132536e-05,1
8,0.02,12,5,1,4.453721545014545,7.146316316678817,6
8,0.02,12,5,2,3.4668599392822443,5.626005822521513,5
8,0.02,12,5,3,2.483187891046043,3.963775155022109,4
8,0.02,12,5,4,1.717514223132703,2.534067014983574,5
8,0.02,12,5,5,0.8042486012948196,1.0749885793049483,5
8,0.02,12,5,6,0.19846870175814857,0.11640128649596093,1
8,0.02,12,5,7,0.10921322950742862,0.041335909539700566,2
8,0.02,12,5,8,0.03624341283839527,0.0038896618663155635,1
8,0.02,12,5,9,0.007778384802012539,0.00014657883679625172,1
8,0.02,12,5,10,0.000953663475469213,4.675625721262122e-06,1
8,0.02,12,6,1,3.903231913640795,6.581822764969704,7
8,0.02,12,6,2,2.958689384012036,4.909803144543954,6
8,0.02,12,6,3,2.1462166161678375,3.36297263467981,5
8,0.02,12,6,4,1.0763099130646445,1.3180493787109038,5
8,0.02,12,6,5,0.4892577978569417,0.40013242845338937,3
8,0.02,12,6,6,0.18811902826767835,0.05267805916914625,5
8,0.02,12,6,7,0.06122697581328396,0.016597040930275142,1
8,0.02,12,6,8,0.03327506577258177,0.0011113830568447725,3
8,0.02,12,6,9,0.010502856887274703,0.00012343469892783787,2
8,0.02,12,6,10,0.0055408543484176676,4.536762532580951e-05,1
8,0.02,12,7,1,4.749750493821374,8.10445471391115,8
8,0.02,12,7,2,3.6480509210711247,5.910471774395226,8
8,0.02,12,7,3,2.4167739188637434,3.5633912434518358,7
8,0.02,12,7,4,1.0280522519616326,1.0095365975500838,7
8,0.02,12,7,5,0.8077270178573599,1.1665308377148413,3
8,0.02,12,7,6,0.23121487106818428,0.2194059669917241,3
8,0.02,12,7,7,0.10325860998319314,0.020779009030745144,3
8,0.02,12,7,8,0.0376820620496634,0.001774997967510572,3
8,0.02,12,7,9,0.006298653970002732,0.00016585827951942633,1
8,0.02,12,7,10,0.0024579741706176605,1.6277852934010184e-05,1
8,0.02,12,8,1,5.590194700441774,9.360309556684179,3
8,0.02,12,8,2,4.301326769723531,7.1911456720516576,4
8,0.02,12,8,3,3.358230545864185,5.3419510876446985,3
8,0.02,12,8,4,1.9905812264842098,3.1692810580272095,4
8,0.02,12,8,5,1.3239306218040365,1.7616204410504999,3
8,0.02,12,8,6,0.44327943811121173,0.6431594972694654,4
8,0.02,12,8,7,0.24554115073254223,0.17443633079160747,3
8,0.02,12,8,8,0.08052270550467,0.012952780318396862,3
8,0.02,12,8,9,0.03526076873590256,0.001711877556290986,1
8,0.02,12,8,10,0.012333188293721875,0.0001449271710978195,1
8,0.02,12,9,1,4.163816043034306,6.881142781848494,3
8,0.02,12,9,2,3.4407555115040083,5.452812506205634,2
8,0.02,12,9,3,2.145310326482182,3.1623798325329986,3
8,0.02,12,9,4,1.422249794951881,1.7340495568901382,2
8,0.02,12,9,5,0.7725859835444151,0.673025926675642,2
8,0.02,12,9,6,0.38759802152281253,0.20047816144942487,2
