depth,b,cmi_center_mean,cmi_center_sem,cmi_max_mean,frac_nonzero
3,1,0.68,0.07332121111929345,2.24,0.53
3,2,1.16,0.10071742649611337,2.76,0.72
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
3,8,0.0,0.0,0.0,0.0
3,9,0.0,0.0,0.0,0.0
3,10,0.0,0.0,0.0,0.0
3,11,0.0,0.0,0.0,0.0
3,12,0.0,0.0,0.0,0.0
3,13,0.0,0.0,0.0,0.0
3,14,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,16,0.0,0.0,0.0,0.0
3,17,0.0,0.0,0.0,0.0
3,18,0.0,0.0,0.0,0.0
3,19,0.0,0.0,0.0,0.0
3,20,0.0,0.0,0.0,0.0
3,21,0.0,0.0,0.0,0.0
3,22,0.0,0.0,0.0,0.0
3,23,0.0,0.0,0.0,0.0
3,24,0.0,0.0,0.0,0.0
3,25,0.0,0.0,0.0,0.0
3,26,0.0,0.0,0.0,0.0
3,27,0.0,0.0,0.0,0.0
3,28,0.0,0.0,0.0,0.0
3,29,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
3,31,0.0,0.0,0.0,0.0
3,32,0.0,0.0,0.0,0.0
3,33,0.0,0.0,0.0,0.0
3,34,0.0,0.0,0.0,0.0
