depth,p,a,b,ivn_mean,ivn_sem,ir2_mean,ir2_sem,nreps
4,0.01,1,1,0.583582232773002,0.029230155552628544,0.684782029330868,0.0343115001088602,334
4,0.02,1,1,0.4689727638119784,0.02363460953803558,0.6081088511941245,0.03062323553202787,334
4,0.05,1,1,0.2597562054880687,0.013557387407571658,0.4109365392473924,0.021332680690210402,334
4,0.01,1,2,0.6049780948056184,0.029364586298712643,0.7009187436208913,0.03469804469146775,334
4,0.02,1,2,0.5085461103050258,0.02377282145466553,0.6632517855412962,0.03127514583988549,334
4,0.05,1,2,0.30564595275852663,0.013715149160194343,0.5267686168732795,0.022770334138667945,334
4,0.01,1,3,0.24603043478112788,0.02113737750450194,0.26500594582409626,0.024738879501674166,334
4,0.02,1,3,0.23063630915888803,0.017516773717218617,0.28077146071171316,0.022876825865030818,334
4,0.05,1,3,0.16934796677560784,0.010649269463333368,0.29953116669415775,0.01790736642012654,334
4,0.01,1,4,0.016674569673105783,0.0011060431599974974,0.0072137622834685475,0.0007029667607703171,334
4,0.02,1,4,0.024056811505229304,0.0015798817760126471,0.015279647017461349,0.001353002249779548,334
4,0.05,1,4,0.027143321780306203,0.0018536072935354,0.04242604352243841,0.0029737792052791016,334
4,0.01,1,5,0.003800527669752477,0.00027155506465580516,0.0007044040706598506,0.0001597027089355338,334
4,0.02,1,5,0.005970493844274471,0.00038810255923868263,0.001775668525938611,0.00030530245944778973,334
4,0.05,1,5,0.007115340612536707,0.0004144760846957918,0.00772562699671109,0.0006969172998207612,334
4,0.01,1,6,0.0006462304054688918,8.031383055788347e-05,2.377884423382215e-05,4.361720127091995e-06,334
4,0.02,1,6,0.0012380280628779155,0.00013227426889272331,0.00011303951720081087,1.7970061130260043e-05,334
4,0.05,1,6,0.001932448884436482,0.00017867374232701438,0.0011269380117799504,0.00012288937971261307,334
4,0.01,1,7,6.880026647833368e-05,8.481414515546649e-06,1.2253339825431262e-06,4.1370138151127865e-07,334
4,0.02,1,7,0.00016704483458553483,1.681812966842514e-05,7.47052883684867e-06,1.8352047708968603e-06,334
4,0.05,1,7,0.0003117550266914655,2.6306546895041777e-05,0.00013296040076892003,1.7064843991677986e-05,334
4,0.01,1,8,1.2958887225775256e-05,1.9061278743236063e-06,5.604472603901494e-08,2.000618279636949e-08,334
4,0.02,1,8,3.896733598386135e-05,4.908318531638118e-06,5.891470073789325e-07,1.7413031096980987e-07,334
4,0.05,1,8,9.421941419202616e-05,1.0369965555460497e-05,2.128068826777388e-05,3.53498517193052e-06,334
4,0.01,1,9,1.8401006619240311e-06,2.4971498388482893e-07,5.302952738272616e-09,2.347081263056408e-09,334
4,0.02,1,9,6.4988091083662926e-06,7.321173617926435e-07,6.086452777837137e-08,2.0727341437449084e-08,334
4,0.05,1,9,1.801412223695841e-05,1.7647143047353693e-06,3.0909086101718024e-06,5.45807521969583e-07,334
4,0.01,1,10,4.081098692387686e-07,1.1147225918044469e-07,1.4920843695650373e-09,1.3761190184969386e-09,334
4,0.02,1,10,1.6035711503250268e-06,3.0065311533213094e-07,1.4667503299749991e-08,1.1878757690784802e-08,334
4,0.05,1,10,5.401065058222969e-06,7.339169583692509e-07,6.281788512649915e-07,2.4086498750437486e-07,334
4,0.01,2,1,1.9992969727495347,0.043144694667196434,2.3082467404511697,0.05032595886514922,334
4,0.02,2,1,1.678546061841153,0.03554655332702349,2.169149751355399,0.04605118477542487,334
4,0.05,2,1,1.011929880723801,0.0211409501215724,1.7175766339109462,0.034791086757859385,334
4,0.01,2,2,1.119701169701185,0.040492785909041366,1.2429826972221052,0.0469302670025646,334
4,0.02,2,2,1.000809398553381,0.03395471579170636,1.2467210466919623,0.04391576161293606,334
4,0.05,2,2,0.677714165586729,0.020809375743003573,1.1793276636566956,0.03494534939723863,334
4,0.01,2,3,0.2855486557071549,0.0220790307774619,0.28149862611362503,0.025452086303331553,334
4,0.02,2,3,0.28796337113310055,0.01885374411254897,0.31591115904959544,0.02428475975145057,334
4,0.05,2,3,0.23411816725447687,0.012150587925241213,0.39894032729163,0.021122929439019212,334
4,0.01,2,4,0.024120250950061768,0.0013505826973768244,0.008581057076725292,0.0007835955975081169,334
4,0.02,2,4,0.036007783436535185,0.0019306592890893865,0.01873474946307242,0.0015380549595566436,334
4,0.05,2,4,0.0419473379160901,0.002203682384231943,0.05786979386641796,0.0035948351897121815,334
4,0.01,2,5,0.005284257908273793,0.0003520715691325446,0.0008133286698622436,0.0001687766321802604,334
4,0.02,2,5,0.008778998333997715,0.0005247735423689204,0.0021338943454937134,0.0003347673579588264,334
4,0.05,2,5,0.01145700201076905,0.0006029037545654165,0.010438936882688288,0.0008756771192918888,334
4,0.01,2,6,0.0008187862461684537,8.792437514335327e-05,2.7120828948997174e-05,4.693916871131584e-06,334
4,0.02,2,6,0.0016557718060898857,0.0001491031650467745,0.0001323008633870751,1.965006642633386e-05,334
4,0.05,2,6,0.002717366806964638,0.00020621035359275864,0.0014496645364803842,0.00014271676318645274,334
4,0.01,2,7,9.705107571395144e-05,1.0159071324802402e-05,1.3261398979798573e-06,4.2203337115179553e-07,334
4,0.02,2,7,0.00025326602926487013,2.1884779506719063e-05,8.591109955037e-06,1.9362110232713348e-06,334
4,0.05,2,7,0.0005232745740497795,3.820420628579344e-05,0.00017777290788647976,2.062880099745703e-05,334
4,0.01,2,8,1.669797491972145e-05,2.239725590332896e-06,6.643556823766193e-08,2.1915177995193546e-08,334
4,0.02,2,8,5.250986000004621e-05,5.8624161019788785e-06,7.079318083550172e-07,1.946761043210359e-07,334
4,0.05,2,8,0.00013330230749806308,1.2445324192038986e-05,2.7546862006949568e-05,4.251148890027863e-06,334
4,0.01,2,9,2.635039835634126e-06,3.5821528653822913e-07,7.000793945885603e-09,3.4020236921082872e-09,334
4,0.02,2,9,9.784772224330762e-06,1.062203283562553e-06,8.009110576608521e-08,3.0367077096978124e-08,334
4,0.05,2,9,2.9419181760372145e-05,2.638444868808972e-06,4.252002592930858e-06,7.808149783907671e-07,334
4,0.01,2,10,4.868422932522525e-07,1.2113176835401552e-07,1.5145713133424742e-09,1.3947887815256549e-09,334
4,0.02,2,10,2.0273018073860564e-06,3.3343014080511204e-07,1.5203149467224252e-08,1.220557830004134e-08,334
4,0.05,2,10,7.247986739332272e-06,8.327297175371361e-07,7.323419745015722e-07,2.5865492661895803e-07,334
4,0.01,3,1,2.5705424845544824,0.051328618654744744,2.8991028887639025,0.05915263452799157,334
4,0.02,3,1,2.2326339401111475,0.04319149724115468,2.811515513863698,0.05554334594800445,334
4,0.05,3,1,1.4381476416872865,0.02636657306091452,2.459755495451151,0.04440715397556295,334
4,0.01,3,2,1.1631104796581444,0.04180058122998391,1.2599126151671811,0.047668925448947456,334
4,0.02,3,2,1.0646405356856519,0.03579423631846912,1.283266043076196,0.04540014863045406,334
4,0.05,3,2,0.7511077996194464,0.02282853483939098,1.2869204741890414,0.038504586431210325,334
