depth,p,a,b,ivn_mean,ivn_sem,ir2_mean,ir2_sem,nreps
6,0.01,1,1,0.20988178902347626,0.01978735379775577,0.2629573959763646,0.024692753161122825,334
6,0.02,1,1,0.14923641886632671,0.014334778900949207,0.2112032185963957,0.020133917464200672,334
6,0.05,1,1,0.059965319098641445,0.00622454242461809,0.10353863064391222,0.01063708997870283,334
6,0.01,1,2,0.4362587189809014,0.02321055562398131,0.5599904867814111,0.029702294721764815,334
6,0.02,1,2,0.30412728622271995,0.01646719880488793,0.45298497574272134,0.02421992998815857,334
6,0.05,1,2,0.11286276442480989,0.00683923798188238,0.21660716519062193,0.012995035663631357,334
6,0.01,1,3,0.5012986411518273,0.023395835398758263,0.6409631962911696,0.030702400980348796,334
6,0.02,1,3,0.3731915223325736,0.01644142493401486,0.5766135623218487,0.02533508712744481,334
6,0.05,1,3,0.15393472332762148,0.006768128236307819,0.34018017566524905,0.01416601946050085,334
6,0.01,1,4,0.2067400839479373,0.015801137618166497,0.2501719507277082,0.020668108313587882,334
6,0.02,1,4,0.17446998091982785,0.011712981794723847,0.27547583819629123,0.018918269696185427,334
6,0.05,1,4,0.08390344648135252,0.004919656397607382,0.24376729459699892,0.012441105043488476,334
6,0.01,1,5,0.07848489709886722,0.0084017998437917,0.0667487480554288,0.010350599130592627,334
6,0.02,1,5,0.08183699835799757,0.006869408509293283,0.09375678649152316,0.010089341731930601,334
6,0.05,1,5,0.05166694156772335,0.0036475167361614516,0.15256005141891354,0.009316930603766324,334
6,0.01,1,6,0.01719303613314869,0.001087350552426038,0.004610547105893374,0.000552832178843735,334
6,0.02,1,6,0.02307126321362904,0.001400386297873912,0.011870422957061057,0.0011298951584530648,334
6,0.05,1,6,0.017471180014671666,0.001111487124080991,0.048960901487737934,0.002840371996520032,334
6,0.01,1,7,0.005103871075295346,0.0003576944408396845,0.0005417604928575311,9.50277242707834e-05,334
6,0.02,1,7,0.007605550312080169,0.00047813197247106886,0.00191297746226528,0.0002252626225566515,334
6,0.05,1,7,0.006016460194550328,0.0003662473570013868,0.0146192311882513,0.0009346853546816687,334
6,0.01,1,8,0.00158729078212256,0.000128131976477251,0.00010085586683984624,3.880836371531774e-05,334
6,0.02,1,8,0.002763375513876779,0.00019264899355165974,0.00037714668349792945,7.844380352152421e-05,334
6,0.05,1,8,0.0025003970189521676,0.00016699376160464707,0.00455394783383085,0.0003388482638109968,334
6,0.01,1,9,0.0005014309537810319,4.385780159560272e-05,8.504655906573895e-06,2.2378015121991853e-06,334
6,0.02,1,9,0.0010157941063633307,7.511119482477181e-05,5.6465355952259905e-05,9.98714068147925e-06,334
6,0.05,1,9,0.0010065498110541882,6.889461337586276e-05,0.0013980096862654954,0.00011464901889151321,334
6,0.01,1,10,0.00016466384135179564,2.0736653209452585e-05,1.1215687634140793e-06,4.984777870560496e-07,334
6,0.02,1,10,0.0003960632708484811,3.84224241393026e-05,9.362097846251512e-06,2.453650193948382e-06,334
6,0.05,1,10,0.0004632206707931885,3.953944312223809e-05,0.00044344500598364646,4.234392683333571e-05,334
6,0.01,2,1,1.5518268130540867,0.034949452644180215,1.9857229712635802,0.04453891344754182,334
6,0.02,2,1,1.1059693026946888,0.025955957607606876,1.6600123682084846,0.038829239350052655,334
6,0.05,2,1,0.4284480092493812,0.011825829334339602,0.8569978643872904,0.024436828122440666,334
6,0.01,2,2,1.6136221067050158,0.04061102360071297,2.055038675560387,0.05275052769915968,334
6,0.02,2,2,1.1983371488161647,0.028972358642966198,1.8459129581702012,0.04467620176598487,334
6,0.05,2,2,0.4914345133773962,0.01185041422029683,1.117017879929856,0.025863381114317952,334
6,0.01,2,3,1.0303891875108393,0.03496116896919828,1.250851083239968,0.04512426765961083,334
6,0.02,2,3,0.8342477325430339,0.025877819852925227,1.2632742175626634,0.04066380411997141,334
6,0.05,2,3,0.3884800276350048,0.010854606041633564,1.0185637905232916,0.026463563289234816,334
6,0.01,2,4,0.3735702600691811,0.022142983459732816,0.37717917198290446,0.02707292648321957,334
6,0.02,2,4,0.357176955696447,0.018019845897442616,0.4655078757361891,0.026563936268886965,334
6,0.05,2,4,0.2055680077190409,0.009102522661849357,0.5957868826544441,0.02296688100555445,334
6,0.01,2,5,0.11560205206181355,0.009326703262663794,0.07542187414824061,0.010774679553432275,334
6,0.02,2,5,0.1322686775950205,0.008243595352878798,0.11721501757823082,0.011059892038712616,334
6,0.05,2,5,0.08992895144933355,0.004846306932615884,0.2585753021876347,0.012636555719030388,334
6,0.01,2,6,0.028739658563798988,0.0014594693465856499,0.005822165113484703,0.0006273467262474655,334
6,0.02,2,6,0.040680749657102576,0.0019096031696186912,0.016092667891352868,0.001352677772848609,334
6,0.05,2,6,0.03171072006167437,0.0014790521206208844,0.08222281971215202,0.003957384004011124,334
6,0.01,2,7,0.008927632857206163,0.0005140783869606466,0.0006991757470125596,0.00010809390618116096,334
6,0.02,2,7,0.014507060263953141,0.0007384594604993903,0.0026423952349766324,0.0002726274194226148,334
6,0.05,2,7,0.012518001556471047,0.0006006277113314251,0.025526590681413892,0.0014100976723495236,334
6,0.01,2,8,0.0027413510926513475,0.0001816844045815681,0.00011719901595285377,4.1031792747284606e-05,334
6,0.02,2,8,0.005191105423545974,0.000294452144562673,0.0004905779947466011,8.898970507793474e-05,334
6,0.05,2,8,0.004997321838228505,0.0002593017808773334,0.007739906364429464,0.0004917123445601625,334
6,0.01,2,9,0.0008696602751976886,6.936522393129393e-05,1.0885377496272497e-05,2.598806400203452e-06,334
6,0.02,2,9,0.0019271088660996933,0.00012833987519152992,7.707633297377657e-05,1.2208446548737117e-05,334
6,0.05,2,9,0.0020869077832568303,0.0001243983828818638,0.0024091012572188056,0.00017364461169533662,334
6,0.01,2,10,0.00027915057491089844,2.8678314506302426e-05,1.5133977608510952e-06,5.72414767824054e-07,334
6,0.02,2,10,0.0007147418686474036,5.388153252224757e-05,1.3058536352965957e-05,2.9561872088717413e-06,334
6,0.05,2,10,0.0008761499873385457,5.641412705034583e-05,0.0007330422514762688,5.760092052780283e-05,334
6,0.01,3,1,3.0336914928216254,0.04810312192910493,3.8204075403173396,0.06172232192960529,334
6,0.02,3,1,2.2716577754769127,0.03504334219757704,3.445695507956238,0.05383571577761832,334
6,0.05,3,1,0.9492350603898189,0.014682745497537359,2.180516746825513,0.03397624921748357,334
6,0.01,3,2,2.278289177262268,0.050426878660015176,2.7790642615151886,0.06371415524519733,334
6,0.02,3,2,1.799572925085756,0.037825369238272746,2.6809069890797717,0.05743205111220272,334
